"time","S","R","P","S2","R2","B","OD","OD_noised","u_S","u_R","k","a_S","b","q0","m","v","u_S2","u_R2","k2","x","v2","S_init","R_init","P_init","S2_init","R2_init"
0,1e+06,1,0,0,0,1000001,0.002,0.003,0.0215031008049846,0.0141920465312898,1e+09,0,0,0.1,0.02,0.5,0.00716770026832819,0.00473068217709661,2e+08,1e-04,50,1e+06,1,0,0,0
15,1033127.33173801,1.02174260752774,0,3.89020712375818e-147,3.81126664645867e-153,1033128.35348062,0.002,0.068,0.0215031008049846,0.0141920465312898,1e+09,0,0,0.1,0.02,0.5,0.00716770026832819,0.00473068217709661,2e+08,1e-04,50,1e+06,1,0,0,0
30,1077882.06324343,1.05074399682949,0,3.28254581077018e-146,3.16537567225549e-152,1077883.11398743,0.002,0.002,0.0215031008049846,0.0141920465312898,1e+09,0,0,0.1,0.02,0.5,0.00716770026832819,0.00473068217709661,2e+08,1e-04,50,1e+06,1,0,0,0
45,1138356.20604151,1.08928980710576,0,4.19080377707457e-145,3.978043838999e-151,1138357.29533132,0.002,0.002,0.0215031008049846,0.0141920465312898,1e+09,0,0,0.1,0.02,0.5,0.00716770026832819,0.00473068217709661,2e+08,1e-04,50,1e+06,1,0,0,0
60,1220088.93707684,1.14029732603872,0,1.16177211494171e-143,1.07922326185784e-149,1220090.07737417,0.002,0.002,0.0215031008049846,0.0141920465312898,1e+09,0,0,0.1,0.02,0.5,0.00716770026832819,0.00473068217709661,2e+08,1e-04,50,1e+06,1,0,0,0
75,1330570.8968955,1.2074378055483,0,9.35261101546238e-142,8.42076405206616e-148,1330572.10433331,0.002,0.002,0.0215031008049846,0.0141920465312898,1e+09,0,0,0.1,0.02,0.5,0.00716770026832819,0.00473068217709661,2e+08,1e-04,50,1e+06,1,0,0,0
90,1479930.72518514,1.29526589455238,0,2.31076515703089e-139,1.99599570555272e-145,1479932.02045104,0.002,0.002,0.0215031008049846,0.0141920465312898,1e+09,0,0,0.1,0.02,0.5,0.00716770026832819,0.00473068217709661,2e+08,1e-04,50,1e+06,1,0,0,0
105,1681840.23172311,1.40934539455455,0,1.31784598714523e-136,1.09038185237886e-142,1681841.6410685,0.003,0.004,0.0215031008049846,0.0141920465312898,1e+09,0,0,0.1,0.02,0.5,0.00716770026832819,0.00473068217709661,2e+08,1e-04,50,1e+06,1,0,0,0
120,1954710.61162265,1.55637347424284,0,9.61823232008477e-133,7.45572077960786e-139,1954712.16799613,0.003,0.014,0.0215031008049846,0.0141920465312898,1e+09,0,0,0.1,0.02,0.5,0.00716770026832819,0.00473068217709661,2e+08,1e-04,50,1e+06,1,0,0,0
135,2323247.48941411,1.74430500873209,0,3.33684317646616e-129,2.4659267123189e-135,2323249.23371912,0.003,0.004,0.0215031008049846,0.0141920465312898,1e+09,0,0,0.1,0.02,0.5,0.00716770026832819,0.00473068217709661,2e+08,1e-04,50,1e+06,1,0,0,0
150,2820449.7194027,1.98248338290416,0,3.68613559165998e-124,2.45440224591945e-130,2820451.70188608,0.004,0.005,0.0215031008049846,0.0141920465312898,1e+09,0,0,0.1,0.02,0.5,0.00716770026832819,0.00473068217709661,2e+08,1e-04,50,1e+06,1,0,0,0
165,3490123.94067921,2.28178313667786,0,3.0762693443724e-119,1.92664804261822e-125,3490126.22246235,0.004,0.005,0.0215031008049846,0.0141920465312898,1e+09,0,0,0.1,0.02,0.5,0.00716770026832819,0.00473068217709661,2e+08,1e-04,50,1e+06,1,0,0,0
180,4389996.07620319,2.65476276490533,0,1.28625328123867e-114,7.57044625338335e-121,4389998.73096595,0.005,0.005,0.0215031008049846,0.0141920465312898,1e+09,0,0,0.1,0.02,0.5,0.00716770026832819,0.00473068217709661,2e+08,1e-04,50,1e+06,1,0,0,0
195,5595473.24428742,3.11581516454104,0,5.46802459838062e-110,3.01703831169618e-116,5595476.36010259,0.007,0.006,0.0215031008049846,0.0141920465312898,1e+09,0,0,0.1,0.02,0.5,0.00716770026832819,0.00473068217709661,2e+08,1e-04,50,1e+06,1,0,0,0
210,7204050.46031495,3.68129002365617,0,2.79811432320169e-104,1.41316874610464e-110,7204054.14160497,0.008,0.009,0.0215031008049846,0.0141920465312898,1e+09,0,0,0.1,0.02,0.5,0.00716770026832819,0.00473068217709661,2e+08,1e-04,50,1e+06,1,0,0,0
225,9340284.7202281,4.36955397485797,0,1.58069758481052e-98,7.30852665795193e-105,9340289.08978207,0.01,0.01,0.0215031008049846,0.0141920465312898,1e+09,0,0,0.1,0.02,0.5,0.00716770026832819,0.00473068217709661,2e+08,1e-04,50,1e+06,1,0,0,0
