"Treat","Time_s","OD600_norm"
"C",0,0.01495
"Anc",0,0.01725
"C",900,0.01555
"Anc",900,0.01545
"C",1800,0.01605
"Anc",1800,0.01555
"C",2700,0.01705
"Anc",2700,0.01585
"C",3600,0.01825
"Anc",3600,0.01595
"C",4500,0.01795
"Anc",4500,0.01615
"C",5400,0.01935
"Anc",5400,0.01745
"C",6300,0.01975
"Anc",6300,0.01865
"C",7200,0.02115
"Anc",7200,0.02165
"C",8100,0.02245
"Anc",8100,0.02305
"C",9000,0.02405
"Anc",9000,0.02565
"C",9900,0.02585
"Anc",9900,0.02915
"C",10800,0.02745
"Anc",10800,0.03295
"C",11700,0.03005
"Anc",11700,0.03675
"C",12600,0.03295
"Anc",12600,0.04495
"C",13500,0.03595
"Anc",13500,0.05195
"C",14400,0.03935
"Anc",14400,0.06095
"C",15300,0.04325
"Anc",15300,0.06985
"C",16200,0.04725
"Anc",16200,0.07905
"C",17100,0.05225
"Anc",17100,0.09605
"C",18000,0.05695
"Anc",18000,0.11225
"C",18900,0.06195
"Anc",18900,0.13185
"C",19800,0.06805
"Anc",19800,0.14945
"C",20700,0.07495
"Anc",20700,0.16375
"C",21600,0.08275
"Anc",21600,0.19145
"C",22501,0.09185
"Anc",22501,0.20105
"C",23401,0.10105
"Anc",23401,0.21335
"C",24301,0.11065
"Anc",24301,0.21615
"C",25201,0.12075
"Anc",25201,0.21715
"C",26101,0.13115
"Anc",26101,0.21515
"C",27001,0.14095
"Anc",27001,0.21515
"C",27901,0.14875
"Anc",27901,0.22205
"C",28801,0.15685
"Anc",28801,0.23165
"C",29701,0.16235
"Anc",29701,0.24075
"C",30601,0.16815
"Anc",30601,0.25095
"C",31501,0.17535
"Anc",31501,0.26135
"C",32401,0.18065
"Anc",32401,0.27005
"C",33301,0.18585
"Anc",33301,0.27965
"C",34201,0.19345
"Anc",34201,0.29075
"C",35101,0.20225
"Anc",35101,0.29755
"C",36001,0.20945
"Anc",36001,0.30655
"C",36901,0.21725
"Anc",36901,0.31565
"C",37801,0.22705
"Anc",37801,0.32235
"C",38701,0.23355
"Anc",38701,0.33055
"C",39601,0.24105
"Anc",39601,0.34105
"C",40501,0.25045
"Anc",40501,0.35255
"C",41401,0.25875
"Anc",41401,0.36355
"C",42301,0.26685
"Anc",42301,0.37225
"C",43201,0.27825
"Anc",43201,0.38125
"C",44101,0.28825
"Anc",44101,0.39005
"C",45001,0.29685
"Anc",45001,0.39895
"C",45901,0.30735
"Anc",45901,0.40895
"C",46801,0.31545
"Anc",46801,0.41665
"C",47701,0.32445
"Anc",47701,0.42545
"C",48601,0.33395
"Anc",48601,0.43295
"C",49501,0.34205
"Anc",49501,0.44105
"C",50401,0.35055
"Anc",50401,0.45145
"C",51301,0.35785
"Anc",51301,0.45725
"C",52201,0.36525
"Anc",52201,0.46375
"C",53101,0.37255
"Anc",53101,0.47305
"C",54001,0.38045
"Anc",54001,0.47795
"C",54901,0.38715
"Anc",54901,0.48515
"C",55801,0.39505
"Anc",55801,0.49025
"C",56701,0.40255
"Anc",56701,0.49675
"C",57601,0.40995
"Anc",57601,0.50345
"C",58501,0.41645
"Anc",58501,0.50825
"C",59401,0.42295
"Anc",59401,0.51255
"C",60301,0.42995
"Anc",60301,0.51885
"C",61201,0.43615
"Anc",61201,0.52495
"C",62101,0.44455
"Anc",62101,0.52895
"C",63001,0.45055
"Anc",63001,0.53365
"C",63901,0.45715
"Anc",63901,0.54015
"C",64801,0.46315
"Anc",64801,0.54465
