"Date","Proj","Pop","Treat","Isol","Rep_Well","Media","Time_s","Temp_C","OD600","cfu_ml"
"2019-09-10","125","Anc","Anc","Anc",1,"25-50",0,29,0.0918,22137219.4965978
"2019-09-10","125","Anc","Anc","Anc",1,"25-50",900,29,0.0919,22309495.2839094
"2019-09-10","125","Anc","Anc","Anc",1,"25-50",1800,28.9,0.0915,21620392.1346629
"2019-09-10","125","Anc","Anc","Anc",1,"25-50",2700,29,0.0916,21792667.9219745
"2019-09-10","125","Anc","Anc","Anc",1,"25-50",3600,29,0.0918,22137219.4965978
"2019-09-10","125","Anc","Anc","Anc",1,"25-50",4500,29.1,0.0929,24032253.1570255
"2019-09-10","125","Anc","Anc","Anc",1,"25-50",5400,29.2,0.0931,24376804.7316488
"2019-09-10","125","Anc","Anc","Anc",1,"25-50",6300,29.1,0.0943,26444114.1793882
"2019-09-10","125","Anc","Anc","Anc",1,"25-50",7200,29,0.0951,27822320.4778812
"2019-09-10","125","Anc","Anc","Anc",1,"25-50",8100,29.1,0.0961,29545078.3509973
"2019-09-10","125","Anc","Anc","Anc",1,"25-50",9000,29.1,0.098,32818318.3099181
"2019-09-10","125","Anc","Anc","Anc",1,"25-50",9900,29.2,0.101,37986591.9292666
"2019-09-10","125","Anc","Anc","Anc",1,"25-50",10800,29.2,0.1033,41948935.0374338
"2019-09-10","125","Anc","Anc","Anc",1,"25-50",11700,29,0.1066,47634036.0187172
"2019-09-10","125","Anc","Anc","Anc",1,"25-50",12600,29.2,0.1121,57109204.3208562
"2019-09-10","125","Anc","Anc","Anc",1,"25-50",13500,29,0.1173,66067545.2610604
"2019-09-10","125","Anc","Anc","Anc",1,"25-50",14400,28.8,0.1248,78988229.3094317
"2019-09-10","125","Anc","Anc","Anc",1,"25-50",15300,29.2,0.1343,95354429.1040355
"2019-09-10","125","Anc","Anc","Anc",1,"25-50",16200,29,0.1462,115855247.794118
"2019-09-10","125","Anc","Anc","Anc",1,"25-50",17100,29.1,0.1652,148587647.383326
"2019-09-10","125","Anc","Anc","Anc",1,"25-50",18000,29.1,0.1843,181492322.759845
"2019-09-10","125","Anc","Anc","Anc",1,"25-50",18900,29.2,0.2054,217842513.882596
"2019-09-10","125","Anc","Anc","Anc",1,"25-50",19800,29,0.2224,247129397.725571
"2019-09-10","125","Anc","Anc","Anc",1,"25-50",20700,29,0.2432,282962761.486388
"2019-09-10","125","Anc","Anc","Anc",1,"25-50",21600,29,0.2685,326548535.676227
"2019-09-10","125","Anc","Anc","Anc",1,"25-50",22501,29,0.277,341191977.597715
"2019-09-10","125","Anc","Anc","Anc",1,"25-50",23401,29.1,0.2899,363415554.160913
"2019-09-10","125","Anc","Anc","Anc",1,"25-50",24301,28.9,0.2928,368411551.99295
"2019-09-10","125","Anc","Anc","Anc",1,"25-50",25201,29,0.2945,371340240.377248
"2019-09-10","125","Anc","Anc","Anc",1,"25-50",26101,29,0.2906,364621484.672095
